ID	位置	中文	한국어	備註
U24	strings.js · 介面與固定台詞	肉類・海鮮	고기・해산물	
U25	strings.js · 介面與固定台詞	蔬菜・水果	채소・과일	
U26	strings.js · 介面與固定台詞	冷藏食材	냉장 식재료	
U27	strings.js · 介面與固定台詞	常溫食材	상온 식재료	
U28	strings.js · 介面與固定台詞	調味料	양념	
U29	strings.js · 介面與固定台詞	家裡已有 N 樣	집에 있는 재료 N개	
U30	strings.js · 介面與固定台詞	標記為已買到	산 것으로 표시	
U31	strings.js · 介面與固定台詞	標記為未買	아직 안 산 것으로 표시	
U32	strings.js · 介面與固定台詞	標記為家裡已有	집에 있는 재료로 표시	
U33	strings.js · 介面與固定台詞	移出今日菜單	오늘의 메뉴에서 빼기	
A2	strings.js · 介面與固定台詞	{d} 天沒來。……好吧，今天吃什麼？	{d}일 만이네. …그래, 오늘 뭐 먹을래?	
A3	strings.js · 介面與固定台詞	這個時間還要煮？……好吧。	이 시간에 요리를? …그래, 해보자.	
A4	strings.js · 介面與固定台詞	又是你。……今天也要吃好的？	또 왔네. …오늘도 맛있는 거 먹으려고?	
A5	strings.js · 介面與固定台詞	回來啦。今天想吃什麼？	왔네. 오늘은 뭐 먹을래?	
D1	strings.js · 介面與固定台詞	慢慢看。挑吃的，本來就不能催。	천천히 봐. 먹을 건 서두를 필요 없잖아.	
D2	strings.js · 介面與固定台詞	{n} 道了。還要加？……行啊。	벌써 {n}개야. 더 담아? …그래.	
D3	strings.js · 介面與固定台詞	{n} 道……你今天是真的有野心喔。	{n}개… 오늘 진짜 야심찬데?	
D4	strings.js · 介面與固定台詞	還沒選。……慢慢來。	아직 안 골랐네. …천천히 해.	
D5	strings.js · 介面與固定台詞	這些買齊就夠了。別把冰箱塞滿。	장볼 건 이 정도면 돼. 냉장고까지 꽉 채우진 마.	
D6	strings.js · 介面與固定台詞	要泡要醃的先處理。你可以拖，食材不會配合。	불리거나 재울 건 먼저 해. 미뤄도 되는데, 재료는 기다려주지 않아.	
D7	strings.js · 介面與固定台詞	菜單裡有 {n} 道。你挑，我等著吃。	메뉴에 {n}개 있어. 골라. 난 먹을 준비할게.	
E1	strings.js · 介面與固定台詞	找不到這道菜。我也沒聽過。	이건 없네. 나도 처음 들어.	
UCNT	strings.js · 介面與固定台詞	N 道	N개	
DWAIT	strings.js · 介面與固定台詞	你去買，我在家等。反正我也跑不掉。	장 보고 와. 난 집에 있을게. 어차피 멀리 못 가.	
AEND	strings.js · 介面與固定台詞	那，今天吃什麼？	그럼, 오늘 뭐 먹을래?	
DBUY	strings.js · 介面與固定台詞	都買齊了，回來吧。	다 샀네. 이제 들어와.	
E2	strings.js · 介面與固定台詞	今天的菜單還沒定。那我先睡。	오늘 메뉴 아직 안 정했네. 그럼 난 먼저 잘게.	
R1.title	strings.js · R1	阿嬤紅燒雞 2.0	대만 할머니의 간장 닭조림	
R1.subtitle	strings.js · R1	阿嬤的紅燒靈魂。鹹甜醬汁拌飯，我提早下樹。	대만 할머니의 손맛. 단짠 소스에 바로 밥 비비기.	
R1.note	strings.js · R1	底味不能動，我只多做一件事：雞肉先煎出焦香再煨，醬汁才有層次。	밑맛은 건드리는 거 아니야. 딱 하나만 더 해. 닭고기 먼저 노릇하게 구운 다음 졸이면 소스에 층이 생겨.	
R1.murmur	strings.js · R1	配這鍋汁，白飯我要兩碗。	이 소스면 밥 두 공기는 간다.	
R1.stage.1	strings.js · R1	雞肉先煎香	닭고기 먼저 노릇하게	
R1.stage.2	strings.js · R1	換鍋慢慢燜	냄비 바꿔 천천히 졸이기	
R1.stage.3	strings.js · R1	大火收亮	센 불로 윤기 나게 졸이기	
R1.step.1	strings.js · R1	平底鍋下油，大火熱鍋後放入雞翅和棒棒腿，翻面煎到各面微微金黃，並逼出雞油。	팬에 기름을 두르고 센 불로 달군다. 닭날개와 닭봉을 넣어 돌려 가며 모든 면이 살짝 노릇해질 때까지 굽고 닭기름을 충분히 낸다.	
R1.step.2	strings.js · R1	雞皮轉金黃後，沿鍋邊淋入米酒 2 湯匙，讓蒸汽帶走腥味。	닭 껍질이 노릇해지면 팬 가장자리에 청주나 소주 2큰술을 둘러 붓고, 올라오는 수증기로 잡내를 날린다.	
R1.step.3	strings.js · R1	把煎好的雞肉，連同鍋底亮晶晶的精華雞油，全部移到深鍋裡。	구운 닭고기와 팬 바닥의 반짝이는 닭기름까지 하나도 남기지 말고 전부 깊은 냄비로 옮긴다.	
R1.step.4	strings.js · R1	加入清水 200 ml、胡蘿蔔塊和調好的靈魂黑金醬汁，攪拌均勻。	물 200ml, 당근, 미리 섞어 둔 비법 간장 양념을 넣고 고루 섞는다.	
R1.step.5	strings.js · R1	蓋上鍋蓋，大火煮滾後轉中小火燜 12 分鐘，直到雞肉熟透。	뚜껑을 덮고 센 불에서 끓인 뒤 중약불로 줄여 12분간 졸인다. 닭고기가 속까지 익으면 된다.	
R1.step.6	strings.js · R1	打開鍋蓋，加入洋蔥粗條和整包甘栗仁。	뚜껑을 열고 굵게 썬 양파와 깐밤 한 봉지를 넣는다.	
R1.step.7	strings.js · R1	不要蓋鍋蓋，轉大火持續收汁，直到醬汁由稀轉濃、顏色變深。	뚜껑은 다시 덮지 않는다. 센 불로 계속 졸여 소스가 묽은 상태에서 걸쭉해지고 색이 진해질 때까지 끓인다.	
R1.step.8	strings.js · R1	洋蔥變軟、醬汁裹住雞肉，鍋底仍留少量濃稠醬汁時關火。	양파가 부드러워지고 소스가 닭고기에 고루 묻으며 냄비 바닥에 걸쭉한 소스가 조금 남았을 때 불을 끈다.	
R1.tip.1	strings.js · R1	鍋太小就分批煎。雞肉擠在一起會出水，表面不容易煎上色。	팬이 작으면 나눠 굽는다. 닭고기를 빽빽하게 넣으면 물이 나와 겉면이 잘 노릇해지지 않는다.	
R1.tip.2	strings.js · R1	胡蘿蔔別切太小。它要陪雞肉一起燜，切太小容易先煮到散掉。	당근은 너무 작게 자르지 않는다. 닭고기와 함께 오래 졸이기 때문에 너무 작으면 먼저 풀어진다.	
R1.tip.3	strings.js · R1	甘栗仁最後再加。太早下鍋容易碎，湯汁也會變得混濁。	깐밤은 마지막에 넣는다. 너무 일찍 넣으면 부서지고 국물도 탁해진다.	
R1.tip.4	strings.js · R1	醬油鹹度因品牌而異。收汁前先試味；太鹹補一點水，太淡就再收乾一些。	간장은 제품마다 염도가 다르다. 졸이기 전에 맛을 보고, 짜면 물을 조금 보태고 싱거우면 조금 더 졸인다.	
R1.prep.1	strings.js · R1	擦乾表面水分備用	표면의 물기를 닦아 둔다	
R1.prep.2	strings.js · R1	擦乾表面水分備用	표면의 물기를 닦아 둔다	
R1.prep.3	strings.js · R1	先在碗中調勻備用	그릇에 미리 섞어 둔다	
R1.prep.4	strings.js · R1	切滾刀塊	큼직하게 썬다	
R1.prep.5	strings.js · R1	切粗條	굵게 채 썬다	
R2.title	strings.js · R2	生日那碗韓式海帶湯	소고기 미역국	
R2.subtitle	strings.js · R2	牛腩熬到乳白。今天不是誰生日我也要喝。	양지 푹 우려 뽀얀 국물. 누구 생일 아니어도 이건 무조건.	
R2.note	strings.js · R2	牛肉一定要帶點油脂筋膜，湯才熬得濃潤。炒的時候千萬別開大火，芝麻油焦了整鍋湯直接發苦。	소고기는 기름기랑 힘줄이 좀 섞여야 국물이 진해져. 볶을 때 센 불 절대 금지, 참기름 타면 국물 다 버려.	
R2.murmur	strings.js · R2	牛肉多放幾塊，今天就當我生日。	고기 듬뿍 넣어, 오늘 내 생일 할래.	
R2.stage.1	strings.js · R2	海帶牛肉炒香	미역과 소고기 볶기	
R2.stage.2	strings.js · R2	滾到湯變乳白	국물이 뽀얘질 때까지	
R2.step.1	strings.js · R2	鍋中加入韓式芝麻油 1 湯匙，開中小火，放入醃好的牛肉炒到表面變白。不要開大火，以免芝麻油發苦。	냄비에 참기름 1큰술을 두르고 중약불로 가열한다. 재운 소고기를 넣어 겉면이 하얗게 변할 때까지 볶는다. 센 불에서는 참기름이 탈 수 있으니 피한다.	
R2.step.2	strings.js · R2	加入蒜末，炒到香氣出來。	다진 마늘을 넣어 향이 날 때까지 볶는다.	
R2.step.3	strings.js · R2	加入海帶，繼續翻炒 2–3 分鐘，直到海帶顏色變深、香氣出來。	미역을 넣고 2–3분 더 볶아 색이 진해지고 향이 올라오게 한다.	
R2.step.4	strings.js · R2	加入韓式湯醬油 1 湯匙炒勻，再倒入高湯 750 ml，轉大火煮滾。	국간장 1큰술을 넣어 볶은 뒤 육수 750ml를 붓고 센 불에서 끓인다.	
R2.step.5	strings.js · R2	撈去浮沫，維持中大火滾煮 10 分鐘，直到湯逐漸轉為乳白色。	거품을 걷고 중강불로 10분 끓여 국물이 서서히 뽀얘지게 한다.	
R2.step.6	strings.js · R2	轉中小火，蓋上鍋蓋燉 30 分鐘。	중약불로 줄이고 뚜껑을 덮어 30분 끓인다.	
R2.step.7	strings.js · R2	試味；不夠鹹時，加少量鹽或韓式湯醬油調整。	간을 본 뒤 싱거우면 소금이나 국간장을 조금씩 더한다.	
R2.tip.1	strings.js · R2	帶一點油脂和筋膜的牛肉，燉久後湯會更濃潤。全用瘦肉，喝起來會比較單薄。	양지는 기름기와 힘줄이 적당히 있어 오래 끓일수록 국물이 진하고 부드러워진다. 살코기만 쓰면 국물 맛이 가벼워진다.	
R2.tip.2	strings.js · R2	高湯可以照想要的味道選。昆布魚乾較清爽，牛骨或牛肉高湯則更濃。	육수는 원하는 방향에 맞춰 고른다. 다시마·멸치 육수는 깔끔하고, 사골이나 소고기 육수는 더 진하다.	
R2.tip.3	strings.js · R2	韓式湯醬油顏色淡、鹹味明顯，適合拿來調湯。第一次先少量加，別照一般醬油的份量直接倒。	국간장은 제품마다 염도가 다르다. 처음부터 많이 넣지 말고, 마지막에 맛을 본 뒤 국간장이나 소금으로 간을 맞춘다.	
R2.tip.4	strings.js · R2	芝麻油前面炒香就夠了。起鍋前想補香，只要幾滴；多了會浮在湯面上，蓋過海帶和牛肉味。	참기름은 처음 볶을 때 향을 내는 것으로 충분하다. 마무리에 더 넣고 싶다면 몇 방울만 넣는다. 많이 넣으면 국물 위에 떠서 미역과 소고기 향을 덮는다.	
R2.prep.1	strings.js · R2	用冷水泡 10–15 分鐘，泡軟後瀝乾	찬물에 10–15분 불린 뒤 물기를 뺀다	
R2.prep.2	strings.js · R2	吸乾血水，加韓式湯醬油 1.5 茶匙抓勻，醃 5 分鐘	핏물을 닦고 국간장 1.5작은술을 넣어 버무린 뒤 5분 재운다	
R2.prep.3	strings.js · R2	切末	다진다	
R3.title	strings.js · R3	蒜香橄欖油義大利麵	알리오 올리오	
R3.subtitle	strings.js · R3	越簡單越見真章。蒜香與油香的極致純粹。	단순할수록 정직한 맛. 오일과 마늘의 찐 풍미.	
R3.note	strings.js · R3	義大利人用這道考驗廚師基本功。油水乳化裹滿麵條，乾淨純粹才見真本事。	이탈리아 셰프 기본기 테스트용 파스타. 기름에 면수 넣고 소스 착 감기게 볶아야 찐이야.	
R3.murmur	strings.js · R3	準備好驗證你的廚師基本功了嗎？	진짜 셰프가 될 준비 됐어?	
R3.stage.1	strings.js · R3	麵先下鍋	면부터 삶기	
R3.stage.2	strings.js · R3	蒜香慢慢養	마늘향 천천히 내기	
R3.stage.3	strings.js · R3	麵水乳化	면수로 유화하기	
R3.stage.4	strings.js · R3	熄火收香	불 끄고 향 마무리	
R3.step.1	strings.js · R3	深鍋加足量水煮滾，加鹽後放入義大利直麵。	깊은 냄비에 넉넉한 물을 끓이고 소금을 넣은 뒤 스파게티면을 넣는다.	
R3.step.2	strings.js · R3	比包裝標示時間提早 1.5–2 分鐘撈起，讓麵芯保留一點硬度。	포장지 표기 시간보다 1.5–2분 일찍 건져 면 가운데 심이 살짝 남도록 한다.	
R3.step.3	strings.js · R3	撈麵前先盛出煮麵水 200 ml 備用。	면을 건지기 전에 면수 200ml를 따로 덜어 둔다.	
R3.step.4	strings.js · R3	平底鍋先不要開火，加入橄欖油 3 湯匙和全部蒜片。	팬은 아직 불을 켜지 않은 상태에서 올리브오일 3큰술과 마늘을 모두 넣는다.	
R3.step.5	strings.js · R3	開小火慢慢升溫。蒜片周圍出現細小氣泡、邊緣轉淡金黃色時即可。	약불로 천천히 온도를 올린다. 마늘 주변에 작은 기포가 생기고 가장자리가 연한 금빛이 돌면 된다.	
R3.step.6	strings.js · R3	立刻加入辣椒碎，快速翻炒 15 秒。	즉시 잘게 썬 페페론치노를 넣고 15초간 빠르게 볶는다.	
R3.step.7	strings.js · R3	把撈起的麵條直接移入平底鍋，轉大火。	건진 면을 팬으로 바로 옮기고 센 불로 올린다.	
R3.step.8	strings.js · R3	倒入預留的煮麵水 100 ml；如果太乾，再少量補加。	남겨 둔 면수 100ml를 붓는다. 너무 마르면 조금씩 더 보탠다.	
R3.step.9	strings.js · R3	用料理夾快速翻拌並旋轉麵條，讓鍋中的油和煮麵水乳化。醬汁變成濃稠乳白色、能均勻裹住麵條即可。	집게로 면을 빠르게 뒤집고 돌려 오일과 면수가 유화되게 한다. 소스가 걸쭉하고 뽀얗게 변해 면에 고르게 달라붙으면 된다.	
R3.step.10	strings.js · R3	醬汁均勻裹住麵條、鍋底沒有明顯多餘水分時，立刻關火。	소스가 면에 고르게 묻고 팬 바닥에 눈에 띄는 물기가 남지 않으면 즉시 불을 끈다.	
R3.step.11	strings.js · R3	有松露橄欖油的話，關火後淋入 1–1.5 湯匙；沒有可省略。最後撒上現磨黑胡椒。	트러플 올리브오일이 있으면 불을 끈 뒤 1–1.5큰술을 두른다. 없으면 생략한다. 마지막에 후추를 갈아 뿌린다.	
R3.step.12	strings.js · R3	利用鍋中餘溫快速翻拌約 5 秒。盛盤後，把鍋底的蒜片和辣椒碎一起放到麵上。	팬의 잔열로 약 5초간 빠르게 섞는다. 접시에 담고 팬 바닥의 마늘과 페페론치노도 함께 올린다.	
R3.tip.1	strings.js · R3	蒜片盡量切同厚。太薄的先焦、太厚的還沒出香，最後會同時有苦味和生蒜味。	마늘은 가능한 한 같은 두께로 썬다. 얇은 건 먼저 타고 두꺼운 건 향이 덜 나서, 결국 쓴맛과 생마늘 맛이 같이 난다.	
R3.tip.2	strings.js · R3	怕辣就把辣椒籽去掉。香氣還在，入口的辣度會柔和很多。	덜 맵게 먹고 싶으면 페페론치노 씨를 뺀다. 향은 남고 매운맛은 훨씬 부드러워진다.	
R3.tip.3	strings.js · R3	煮麵水本身已經有鹽，收尾先吃一口再補鹽。醬汁收得越乾，鹹味也會越集中。	면수 자체에 소금이 들어 있으니 마지막에 한입 먹어 보고 소금을 더한다. 소스가 졸수록 짠맛도 강해진다.	
R3.tip.4	strings.js · R3	乳化太乾就補一點煮麵水；太稀就開大火多翻幾秒。醬汁能薄薄巴在麵上就對了。	유화가 너무 되직하면 면수를 조금 더하고, 너무 묽으면 센 불에서 몇 초 더 섞는다. 소스가 면에 얇게 달라붙으면 된다.	
R3.prep.1	strings.js · R3	切成厚度一致的薄片	같은 두께로 얇게 썬다	
R3.prep.2	strings.js · R3	切碎	잘게 썬다	
R4.title	strings.js · R4	香蕉胖胖瑪芬	바나나 머핀	
R4.subtitle	strings.js · R4	香蕉熟透發黑才甜，氣炸鍋叮一聲我就醒了。	바나나는 까매져야 달아. 에프 땡 소리에 바로 깰 예정.	
R4.note	strings.js · R4	香蕉越黑果香越濃，連糖都能少放。剛出爐先放五分鐘再脫模，心急熱熱拿一定裂開。	바나나는 까맣게 익을수록 단맛이 진해져. 갓 구워 나왔을 때 5분만 식히고 꺼내야 모양 안 망가져.	
R4.murmur	strings.js · R4	配熱咖啡剛剛好，冷掉吃也一樣香。	커피랑 찰떡궁합, 식어도 계속 들어가지.	
R4.stage.1	strings.js · R4	拌到剛剛好	딱 그만큼만 섞기	
R4.stage.2	strings.js · R4	氣炸到胖起來	에어프라이어에서 통통하게	
R4.step.1	strings.js · R4	另一個碗中放入低筋麵粉和小蘇打粉，混合均勻備用。	다른 그릇에 박력분과 베이킹소다를 넣어 고루 섞어 둔다.	
R4.step.2	strings.js · R4	香蕉泥加入雞蛋、喝的優格、融化奶油、香草精、黑糖和白糖，攪拌均勻。	으깬 바나나에 달걀, 마시는 요거트, 녹인 버터, 바닐라 익스트랙, 흑설탕, 설탕을 넣어 섞는다.	
R4.step.3	strings.js · R4	把乾料倒入濕料，用刮刀輕輕翻拌到看不見乾粉就停手。	가루 재료를 젖은 재료에 넣고 주걱으로 가볍게 섞는다. 마른 가루가 보이지 않으면 바로 멈춘다.	
R4.step.4	strings.js · R4	用廚房紙巾沾少量奶油，均勻塗抹模具底部和四周。	키친타월에 버터를 조금 묻혀 틀의 바닥과 옆면에 고르게 바른다.	
R4.step.5	strings.js · R4	把麵糊平均倒入 4 個瑪芬模具，約八分滿。	반죽을 머핀 틀 4개에 고르게 나눠 80% 정도 채운다.	
R4.step.6	strings.js · R4	放入模具，以 160°C 烤 22–25 分鐘。	에어프라이어에 틀을 넣고 160°C에서 22–25분 굽는다.	
R4.step.7	strings.js · R4	烤到 20 分鐘後開始用牙籤插入中心檢查；拔出時沒有濕麵糊即可。若未熟，每次再烤 3 分鐘後重測。	20분부터 이쑤시개로 가운데를 찔러 확인한다. 젖은 반죽이 묻지 않으면 익은 것이다. 덜 익었으면 3분씩 추가로 굽고 다시 확인한다.	
R4.tip.1	strings.js · R4	熟香蕉可以冷凍備用。退冰後會出水，水太多就先倒掉一點，避免麵糊變得太稀。	잘 익은 바나나는 얼려 두어도 된다. 해동하면 물이 나오니 너무 많으면 조금 따라 버려 반죽이 묽어지지 않게 한다.	
R4.tip.2	strings.js · R4	模具不同，烤的時間也會不同。金屬模上色較快，矽膠模通常要多烤一會兒。	틀에 따라 굽는 시간이 달라진다. 금속 틀은 색이 빨리 나고, 실리콘 틀은 보통 조금 더 오래 굽는다.	
R4.tip.3	strings.js · R4	出爐先放 5 分鐘再脫模。剛出爐時還很軟，立刻拿容易裂開。	구운 뒤 5분 정도 두었다가 틀에서 뺀다. 갓 구웠을 때는 아주 부드러워 바로 빼면 갈라지기 쉽다.	
R4.tip.4	strings.js · R4	黑糖會多一點焦香和水分，白糖的甜味比較乾淨。全換黑糖，成品會更濕、更黏。	흑설탕은 캐러멜 향과 수분을 더하고, 흰설탕은 단맛이 더 깔끔하다. 전부 흑설탕으로 바꾸면 더 촉촉하고 끈적해진다.	
R4.prep.1	strings.js · R4	用叉子壓成均勻香蕉泥	포크로 곱게 으깬다	
R4.prep.2	strings.js · R4	融化後放涼備用	녹인 뒤 식혀 둔다	
R5.title	strings.js · R5	咕嘟咕嘟辣醬鍋	돼지고기 고추장찌개	
R5.subtitle	strings.js · R5	燉到馬鈴薯鬆軟、五花肉入味，白飯準備兩碗。	감자 포슬포슬 익고 삼겹살에 양념 배면, 밥 두 공기 각.	
R5.note	strings.js · R5	蝦醬先少量放，煮滾試過再補，一開始失手很難救。最後滴幾滴醋是靈魂，能讓辣醬香氣整個亮起來。	새우젓은 처음에 조금만, 끓고 나서 간 보고 더 넣어. 식초 서너 방울 떨구는 게 킥인데, 고추장 텁텁함 싹 잡아줘.	
R5.murmur	strings.js · R5	這鍋濃郁辣湯，怎麼能不開一瓶燒酒？	이 칼칼한 국물에 소주 한 잔 참아?	
R5.stage.1	strings.js · R5	豬肉先逼香	돼지고기 기름 내기	
R5.stage.2	strings.js · R5	辣醬炒冒泡	고추장 양념 보글보글 볶기	
R5.stage.3	strings.js · R5	加水咕嘟	물 붓고 끓이기	
R5.stage.4	strings.js · R5	蔬菜後下	채소는 나중에	
R5.stage.5	strings.js · R5	最後調味	마지막 간 맞추기	
R5.step.1	strings.js · R5	湯鍋不放油，直接放入豬肉塊，中火煸炒到表面金黃微焦並逼出豬油。	냄비에 기름을 두르지 않고 돼지고기를 바로 넣는다. 중불에서 겉면이 노릇해지고 돼지기름이 충분히 나올 때까지 볶는다.	
R5.step.2	strings.js · R5	轉小火，倒入調好的醬汁，用豬油翻炒約 1 分鐘，直到醬汁冒泡、香氣明顯。	약불로 줄이고 미리 섞어 둔 양념을 모두 넣는다. 돼지기름에 약 1분 볶아 양념이 보글보글 끓고 향이 올라오게 한다.	
R5.step.3	strings.js · R5	倒入清水 500 ml，加入馬鈴薯塊，大火煮滾後撈去浮沫。	물 500ml와 감자를 넣고 센 불에서 끓인 뒤 거품을 걷는다.	
R5.step.4	strings.js · R5	加入板豆腐塊，轉中小火，蓋鍋蓋燉 15 分鐘，直到馬鈴薯熟透、湯汁略微變濃。	두부를 넣고 중약불로 줄여 뚜껑을 덮고 15분 끓인다. 감자가 익고 국물이 약간 걸쭉해지면 된다.	
R5.step.5	strings.js · R5	開蓋轉大火，先確認湯汁稠度。不夠濃時，再滾 3–5 分鐘收濃。	뚜껑을 열고 센 불로 올려 먼저 국물 농도를 확인한다. 묽으면 3–5분 더 끓여 졸인다.	
R5.step.6	strings.js · R5	湯汁夠濃後，加入韓國櫛瓜塊和洋蔥塊，煮 3–4 分鐘。	국물이 충분히 진해지면 애호박과 양파를 넣고 3–4분 더 끓인다.	
R5.step.7	strings.js · R5	加入大蔥段和青陽辣椒片，再煮 1–2 分鐘。	대파와 청양고추를 넣고 1–2분 더 끓인다.	
R5.step.8	strings.js · R5	加入韓式醃蝦醬 0.5 湯匙拌勻後試味；不夠鹹再少量補加。	새우젓 0.5큰술을 넣어 섞고 간을 본다. 싱거우면 조금 더 넣는다.	
R5.step.9	strings.js · R5	最後加入醋 0.5 湯匙，稍微攪拌後立刻關火。	마지막에 식초 0.5큰술을 넣어 가볍게 섞고 바로 불을 끈다.	
R5.tip.1	strings.js · R5	五花油脂多，湯會更香；梅花肉比較清爽。想少一點油可以用梅花，但香氣也會跟著淡一些。	삼겹살은 기름이 많아 국물이 더 고소하고, 목살은 조금 더 깔끔하다. 기름을 줄이고 싶으면 목살을 쓰되 향도 조금 약해진다.	
R5.tip.2	strings.js · R5	辣度可以分開調。辣椒醬和辣椒粉主要給醬香和色澤，新鮮辣椒再負責把辣度往上拉。	매운맛은 따로 조절할 수 있다. 고추장과 고춧가루는 기본 향과 색을 만들고, 청양고추로 실제 매운맛을 올린다.	
R5.tip.3	strings.js · R5	韓式醃蝦醬先少量下。煮滾後再試鹹味，不夠再補；一開始放太多很難救。	새우젓은 처음에 적게 넣는다. 끓인 뒤 간을 보고 부족하면 더한다. 처음부터 많이 넣으면 되돌리기 어렵다.	
R5.tip.4	strings.js · R5	醋只要一點點。加對時吃不出明顯酸味，只會讓辣醬味道更亮；明顯酸了就是過量。	식초는 아주 조금만 넣는다. 알맞게 들어가면 신맛은 거의 안 나고 고추장 맛만 또렷해진다. 시큼하게 느껴지면 너무 많이 넣은 것이다.	
R5.prep.1	strings.js · R5	先在碗中拌勻備用	그릇에 미리 섞어 둔다	
R5.prep.2	strings.js · R5	切成一口大塊	한입 크기로 썬다	
R5.prep.3	strings.js · R5	切大塊	큼직하게 썬다	
R5.prep.4	strings.js · R5	切成 1–2 公分厚塊	1–2cm 두께로 큼직하게 썬다	
R5.prep.5	strings.js · R5	切大塊	큼직하게 썬다	
R5.prep.6	strings.js · R5	切厚塊	두툼하게 썬다	
R5.prep.7	strings.js · R5	斜切段	어슷썬다	
R5.prep.8	strings.js · R5	斜切片	어슷썬다	
R6.title	strings.js · R6	櫛瓜小煎餅	애호박전	
R6.subtitle	strings.js · R6	櫛瓜清甜多汁。薄蛋衣煎到微金黃，一口一個剛剛好。	달큰한 애호박 채즙 팡팡. 얇은 달걀옷 입혀 한입에 쏙.	
R6.note	strings.js · R6	沾薄蛋衣慢火煎，別急著翻面。等邊邊定型、微泛金黃再翻才漂亮。	달걀옷 얇게 입혀 약불에 부치고, 가장자리 각 잡히면 뒤집어.	
R6.murmur	strings.js · R6	翻面不要催我，這盤我包了。	뒤집는 거 재촉하지 마, 이건 나 혼자 순삭각.	
R6.stage.1	strings.js · R6	櫛瓜裹蛋	애호박에 달걀옷	
R6.stage.2	strings.js · R6	兩面煎金黃	양면 노릇하게	
R6.step.1	strings.js · R6	平底鍋加入食用油 2 湯匙，以中小火熱鍋。	팬에 식용유 2큰술을 두르고 중약불로 달군다.	
R6.step.2	strings.js · R6	櫛瓜片沾上蛋液，讓兩面完整裹住，再一片片排入鍋中。	애호박에 달걀물을 양면 고루 묻힌 뒤 팬에 한 장씩 놓는다.	
R6.step.3	strings.js · R6	中小火煎第一面 2–3 分鐘，等邊緣蛋衣轉金黃後翻面。	중약불에서 첫 면을 2–3분 굽는다. 달걀옷 가장자리가 노릇해지면 뒤집는다.	
R6.step.4	strings.js · R6	翻面再煎約 2 分鐘。用筷子輕戳中心，呈現微軟但仍有彈性時即可起鍋。	뒤집어 약 2분 더 굽는다. 젓가락으로 가운데를 살짝 눌러 부드럽지만 탄력이 남아 있으면 꺼낸다.	
R6.tip.1	strings.js · R6	選直一點的櫛瓜，比較容易切成同厚圓片；厚度一致，兩面熟成的速度才會接近。	곧은 애호박을 고르면 같은 두께의 원형으로 썰기 쉽다. 두께가 일정해야 양면이 비슷한 속도로 익는다.	
